name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	13200	6225	6975	0	10	0	27170	27170	7680	5762	11779	392	7194	6391	581	20940	23440	910	24560	25070	3540	t < 800 ms	405	3	800 ms < t < 1200 ms	56	0	t > 1200 ms	5764	43	failed	6975	52	138	65	73
Dashboard	4400	2328	2072	0	10	0	26200	26200	6380	5961	10898	413	7456	7276	632	21200	23670	940	24820	25080	3610	t < 800 ms	315	7	800 ms < t < 1200 ms	27	0	t > 1200 ms	1986	45	failed	2072	47	46	24	22
Profile 1	4400	1896	2504	0	30	0	27170	27170	7600	5647	12573	402	7300	6243	554	21090	23650	910	24760	25140	3530	t < 800 ms	87	1	800 ms < t < 1200 ms	29	0	t > 1200 ms	1780	40	failed	2504	56	46	20	26
Profile 2	4400	2001	2399	0	70	0	26160	26160	7680	5679	12051	364	6806	5196	561	19390	21990	900	24040	24550	3430	t < 800 ms	3	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1998	45	failed	2399	54	46	21	25
