name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	12000	12000	0	0	0	-1	3030	3030	-1	60	60	-1	353	353	-1	30	30	-1	3010	3010	-1	t < 800 ms	11838	98	800 ms < t < 1200 ms	0	0	t > 1200 ms	162	1	failed	0	0	543	543	-1
Homepage	3000	3000	0	0	0	-1	110	110	-1	6	6	-1	8	8	-1	20	20	-1	20	20	-1	t < 800 ms	3000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	136	136	-1
Projects	3000	3000	0	0	0	-1	3030	3030	-1	59	59	-1	331	331	-1	40	40	-1	3010	3010	-1	t < 800 ms	2965	98	800 ms < t < 1200 ms	0	0	t > 1200 ms	35	1	failed	0	0	136	136	-1
Search	3000	3000	0	0	0	-1	3030	3030	-1	90	90	-1	449	449	-1	260	260	-1	3010	3010	-1	t < 800 ms	2933	97	800 ms < t < 1200 ms	0	0	t > 1200 ms	67	2	failed	0	0	136	136	-1
Project page	3000	3000	0	0	0	-1	3030	3030	-1	87	87	-1	426	426	-1	270	270	-1	3010	3010	-1	t < 800 ms	2940	98	800 ms < t < 1200 ms	0	0	t > 1200 ms	60	2	failed	0	0	136	136	-1
