name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	11400	11400	0	10	10	-1	22440	22440	-1	11867	11867	-1	6282	6282	-1	19680	19680	-1	19800	19800	-1	t < 800 ms	562	4	800 ms < t < 1200 ms	88	0	t > 1200 ms	10750	94	failed	0	0	100	100	-1
Dashboard	3800	3800	0	10	10	-1	19690	19690	-1	9474	9474	-1	5913	5913	-1	18710	18710	-1	19460	19460	-1	t < 800 ms	366	9	800 ms < t < 1200 ms	31	0	t > 1200 ms	3403	89	failed	0	0	33	33	-1
Profile 1	3800	3800	0	40	40	-1	22440	22440	-1	12635	12635	-1	6536	6536	-1	19740	19740	-1	19840	19840	-1	t < 800 ms	168	4	800 ms < t < 1200 ms	29	0	t > 1200 ms	3603	94	failed	0	0	33	33	-1
Profile 2	3800	3800	0	390	390	-1	20030	20030	-1	13491	13491	-1	5637	5637	-1	19700	19700	-1	19800	19800	-1	t < 800 ms	28	0	800 ms < t < 1200 ms	28	0	t > 1200 ms	3744	98	failed	0	0	33	33	-1
