name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	9600	9600	0	10	10	-1	7320	7320	-1	3860	3860	-1	2163	2163	-1	7060	7060	-1	7260	7260	-1	t < 800 ms	953	9	800 ms < t < 1200 ms	626	6	t > 1200 ms	8021	83	failed	0	0	113	113	-1
Dashboard	3200	3200	0	10	10	-1	7320	7320	-1	3387	3387	-1	2161	2161	-1	6630	6630	-1	7240	7240	-1	t < 800 ms	481	15	800 ms < t < 1200 ms	232	7	t > 1200 ms	2487	77	failed	0	0	38	38	-1
Profile 1	3200	3200	0	20	20	-1	7320	7320	-1	4022	4022	-1	2231	2231	-1	7160	7160	-1	7270	7270	-1	t < 800 ms	293	9	800 ms < t < 1200 ms	208	6	t > 1200 ms	2699	84	failed	0	0	38	38	-1
Profile 2	3200	3200	0	30	30	-1	7310	7310	-1	4169	4169	-1	2014	2014	-1	7040	7040	-1	7250	7250	-1	t < 800 ms	179	5	800 ms < t < 1200 ms	186	5	t > 1200 ms	2835	88	failed	0	0	38	38	-1
