name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	3600	3600	0	0	0	-1	90	90	-1	4	4	-1	6	6	-1	10	10	-1	10	10	-1	t < 800 ms	3600	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	188	188	-1
Homepage	900	900	0	0	0	-1	50	50	-1	3	3	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	900	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	47	47	-1
Projects	900	900	0	0	0	-1	50	50	-1	6	6	-1	6	6	-1	10	10	-1	10	10	-1	t < 800 ms	900	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	47	47	-1
Search	900	900	0	0	0	-1	40	40	-1	3	3	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	900	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	47	47	-1
Project page	900	900	0	0	0	-1	90	90	-1	4	4	-1	6	6	-1	10	10	-1	20	20	-1	t < 800 ms	900	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	47	47	-1
