name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	32000	31851	149	0	0	0	60040	9020	60040	287	284	1107	549	589	0	1280	1280	1300	3380	3380	60010	t < 800 ms	27411	85	800 ms < t < 1200 ms	2548	7	t > 1200 ms	1892	5	failed	149	0	402	400	2
Homepage	8000	8000	0	0	0	-1	4380	4380	-1	53	53	-1	186	186	-1	280	280	-1	980	980	-1	t < 800 ms	7831	97	800 ms < t < 1200 ms	131	1	t > 1200 ms	38	0	failed	0	0	100	100	-1
Projects	8000	7979	21	0	0	0	60010	4500	60010	210	202	3123	438	531	0	1210	1200	1530	3380	3380	60010	t < 800 ms	7114	88	800 ms < t < 1200 ms	467	5	t > 1200 ms	398	4	failed	21	0	100	100	0
Search	8000	7928	72	0	0	0	60040	9000	60040	474	468	1126	672	740	0	1570	1580	1280	3450	3450	1490	t < 800 ms	6171	77	800 ms < t < 1200 ms	1020	12	t > 1200 ms	737	9	failed	72	0	100	100	1
Project page	8000	7944	56	0	0	0	9020	9020	1510	413	414	327	645	646	512	1410	1410	1260	3450	3450	1400	t < 800 ms	6295	78	800 ms < t < 1200 ms	930	11	t > 1200 ms	719	8	failed	56	0	100	100	1
