name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	12000	9994	2006	0	10	0	10090	10090	80	4736	5681	25	3333	2828	13	9020	9080	50	9200	9210	60	t < 800 ms	630	5	800 ms < t < 1200 ms	134	1	t > 1200 ms	9230	76	failed	2006	16	138	115	23
Dashboard	4000	3398	602	0	10	0	9270	9270	80	4277	5031	23	3292	2996	12	9010	9070	40	9190	9190	50	t < 800 ms	391	9	800 ms < t < 1200 ms	43	1	t > 1200 ms	2964	74	failed	602	15	46	39	7
Profile 1	4000	3313	687	0	20	0	9280	9280	80	4906	5918	25	3399	2826	13	9020	9100	50	9200	9210	70	t < 800 ms	188	4	800 ms < t < 1200 ms	45	1	t > 1200 ms	3080	77	failed	687	17	46	38	8
Profile 2	4000	3283	717	10	40	10	10090	10090	80	5024	6116	27	3260	2510	13	9020	9080	50	9210	9210	60	t < 800 ms	51	1	800 ms < t < 1200 ms	46	1	t > 1200 ms	3186	79	failed	717	17	46	38	8
