name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	2000	2000	0	0	0	-1	40	40	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	105	105	-1
Homepage	500	500	0	0	0	-1	10	10	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	500	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	26	26	-1
Projects	500	500	0	0	0	-1	30	30	-1	1	1	-1	4	4	-1	10	10	-1	20	20	-1	t < 800 ms	500	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	26	26	-1
Search	500	500	0	0	0	-1	30	30	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	500	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	26	26	-1
Project page	500	500	0	0	0	-1	40	40	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	500	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	26	26	-1
