name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	80000	79699	301	0	0	0	60020	9190	60020	650	650	612	781	800	0	3170	3180	40	3620	3620	550	t < 800 ms	61013	76	800 ms < t < 1200 ms	9071	11	t > 1200 ms	9615	12	failed	301	0	947	943	4
Homepage	20000	19894	106	0	0	0	60020	4530	60020	590	587	1146	676	731	0	1840	1860	50	3560	3560	60010	t < 800 ms	14807	74	800 ms < t < 1200 ms	2623	13	t > 1200 ms	2464	12	failed	106	0	237	235	1
Projects	20000	19906	94	0	0	0	4450	4450	550	635	638	17	747	748	57	2030	2040	30	3580	3580	110	t < 800 ms	14803	74	800 ms < t < 1200 ms	2591	12	t > 1200 ms	2512	12	failed	94	0	237	236	1
Search	20000	19957	43	0	0	0	9190	9190	90	709	710	11	855	856	17	3250	3250	40	3640	3640	90	t < 800 ms	15605	78	800 ms < t < 1200 ms	1896	9	t > 1200 ms	2456	12	failed	43	0	237	236	1
Project page	20000	19942	58	0	0	0	60000	9180	60000	666	665	1048	828	851	0	3250	3250	40	3640	3640	40	t < 800 ms	15798	78	800 ms < t < 1200 ms	1961	9	t > 1200 ms	2183	10	failed	58	0	237	236	1
