name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	28000	28000	0	0	0	-1	3040	3040	-1	39	39	-1	219	219	-1	90	90	-1	220	220	-1	t < 800 ms	27853	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	147	0	failed	0	0	1278	1278	-1
Homepage	7000	7000	0	0	0	-1	3040	3040	-1	28	28	-1	182	182	-1	70	70	-1	190	190	-1	t < 800 ms	6975	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	25	0	failed	0	0	320	320	-1
Projects	7000	7000	0	0	0	-1	3030	3030	-1	41	41	-1	220	220	-1	100	100	-1	230	230	-1	t < 800 ms	6963	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	37	0	failed	0	0	320	320	-1
Search	7000	7000	0	0	0	-1	3030	3030	-1	47	47	-1	254	254	-1	100	100	-1	230	230	-1	t < 800 ms	6950	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	50	0	failed	0	0	320	320	-1
Project page	7000	7000	0	0	0	-1	3040	3040	-1	41	41	-1	214	214	-1	100	100	-1	220	220	-1	t < 800 ms	6965	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	35	0	failed	0	0	320	320	-1
