name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	8000	8000	0	0	0	-1	150	150	-1	8	8	-1	9	9	-1	10	10	-1	30	30	-1	t < 800 ms	8000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	419	419	-1
Homepage	2000	2000	0	0	0	-1	150	150	-1	6	6	-1	9	9	-1	10	10	-1	20	20	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	105	105	-1
Projects	2000	2000	0	0	0	-1	150	150	-1	9	9	-1	9	9	-1	20	20	-1	40	40	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	105	105	-1
Search	2000	2000	0	0	0	-1	150	150	-1	8	8	-1	9	9	-1	10	10	-1	30	30	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	105	105	-1
Project page	2000	2000	0	0	0	-1	80	80	-1	9	9	-1	7	7	-1	20	20	-1	40	40	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	105	105	-1
