name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	13800	7939	5861	0	10	0	14400	14400	620	5071	8749	88	5343	4215	125	13460	13580	430	13900	14060	520	t < 800 ms	567	4	800 ms < t < 1200 ms	74	0	t > 1200 ms	7298	52	failed	5861	42	149	86	63
Dashboard	4600	2825	1775	0	10	0	14290	14290	620	4772	7716	87	5232	4701	125	13450	13580	430	13890	14040	530	t < 800 ms	396	8	800 ms < t < 1200 ms	29	0	t > 1200 ms	2400	52	failed	1775	38	50	31	19
Profile 1	4600	2608	1992	0	30	0	14400	14400	620	5272	9230	89	5461	4051	125	13480	13620	430	13900	14090	530	t < 800 ms	163	3	800 ms < t < 1200 ms	24	0	t > 1200 ms	2421	52	failed	1992	43	50	28	22
Profile 2	4600	2506	2094	0	30	0	14290	14290	590	5168	9413	88	5323	3522	123	13450	13570	430	13890	14050	510	t < 800 ms	8	0	800 ms < t < 1200 ms	21	0	t > 1200 ms	2477	53	failed	2094	45	50	27	23
