name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	11400	9843	1557	0	10	0	9900	9900	660	4766	5508	77	3368	3017	132	9630	9650	400	9810	9810	610	t < 800 ms	764	6	800 ms < t < 1200 ms	227	1	t > 1200 ms	8852	77	failed	1557	13	131	113	18
Dashboard	3800	3327	473	0	10	0	9870	9870	660	4260	4855	79	3348	3155	136	9630	9660	410	9800	9810	610	t < 800 ms	425	11	800 ms < t < 1200 ms	84	2	t > 1200 ms	2818	74	failed	473	12	44	38	5
Profile 1	3800	3259	541	0	20	0	9890	9890	660	4920	5725	73	3441	3042	128	9620	9640	390	9800	9810	630	t < 800 ms	234	6	800 ms < t < 1200 ms	79	2	t > 1200 ms	2946	77	failed	541	14	44	37	6
Profile 2	3800	3257	543	0	20	0	9900	9900	660	5118	5958	79	3252	2720	133	9630	9650	400	9810	9820	630	t < 800 ms	105	2	800 ms < t < 1200 ms	64	1	t > 1200 ms	3088	81	failed	543	14	44	37	6
