name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	9000	9000	0	10	10	-1	4920	4920	-1	2249	2249	-1	1302	1302	-1	4430	4430	-1	4490	4490	-1	t < 800 ms	1306	14	800 ms < t < 1200 ms	1078	11	t > 1200 ms	6616	73	failed	0	0	110	110	-1
Dashboard	3000	3000	0	10	10	-1	4920	4920	-1	2045	2045	-1	1341	1341	-1	4430	4430	-1	4480	4480	-1	t < 800 ms	589	19	800 ms < t < 1200 ms	379	12	t > 1200 ms	2032	67	failed	0	0	37	37	-1
Profile 1	3000	3000	0	20	20	-1	4530	4530	-1	2327	2327	-1	1311	1311	-1	4430	4430	-1	4490	4490	-1	t < 800 ms	414	13	800 ms < t < 1200 ms	343	11	t > 1200 ms	2243	74	failed	0	0	37	37	-1
Profile 2	3000	3000	0	20	20	-1	4540	4540	-1	2374	2374	-1	1227	1227	-1	4420	4420	-1	4500	4500	-1	t < 800 ms	303	10	800 ms < t < 1200 ms	356	11	t > 1200 ms	2341	78	failed	0	0	37	37	-1
