name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	6000	6000	0	10	10	-1	900	900	-1	56	56	-1	75	75	-1	250	250	-1	390	390	-1	t < 800 ms	5999	99	800 ms < t < 1200 ms	1	0	t > 1200 ms	0	0	failed	0	0	73	73	-1
Dashboard	2000	2000	0	10	10	-1	440	440	-1	42	42	-1	68	68	-1	210	210	-1	360	360	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	24	24	-1
Profile 1	2000	2000	0	20	20	-1	900	900	-1	62	62	-1	78	78	-1	280	280	-1	390	390	-1	t < 800 ms	1999	99	800 ms < t < 1200 ms	1	0	t > 1200 ms	0	0	failed	0	0	24	24	-1
Profile 2	2000	2000	0	20	20	-1	730	730	-1	64	64	-1	78	78	-1	280	280	-1	400	400	-1	t < 800 ms	2000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	24	24	-1
