name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	36000	35756	244	0	0	0	60100	6830	60100	394	393	521	667	698	0	1560	1570	150	3770	3770	220	t < 800 ms	29857	82	800 ms < t < 1200 ms	2327	6	t > 1200 ms	3572	9	failed	244	0	472	469	3
Homepage	9000	8973	27	0	0	0	3400	3400	150	138	138	37	335	335	31	930	930	80	1640	1640	150	t < 800 ms	8470	94	800 ms < t < 1200 ms	175	1	t > 1200 ms	328	3	failed	27	0	118	118	0
Projects	9000	8968	32	0	0	0	6790	6790	150	296	296	36	640	641	39	1430	1430	140	3700	3700	150	t < 800 ms	7860	87	800 ms < t < 1200 ms	419	4	t > 1200 ms	689	7	failed	32	0	118	118	0
Search	9000	8903	97	0	0	0	60100	6830	60100	610	610	645	771	826	0	1790	1790	150	4260	4260	220	t < 800 ms	6659	73	800 ms < t < 1200 ms	919	10	t > 1200 ms	1325	14	failed	97	1	118	117	1
Project page	9000	8912	88	0	0	0	60060	6690	60060	532	530	709	722	780	0	1740	1740	130	3940	3940	150	t < 800 ms	6868	76	800 ms < t < 1200 ms	814	9	t > 1200 ms	1230	13	failed	88	0	118	117	1
