name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1200	1200	0	0	0	-1	210	210	-1	1	1	-1	9	9	-1	0	0	-1	10	10	-1	t < 800 ms	1200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	63	63	-1
Homepage	300	300	0	0	0	-1	20	20	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	300	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	16	16	-1
Projects	300	300	0	0	0	-1	20	20	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	300	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	16	16	-1
Search	300	300	0	0	0	-1	30	30	-1	0	0	-1	3	3	-1	0	0	-1	10	10	-1	t < 800 ms	300	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	16	16	-1
Project page	300	300	0	0	0	-1	210	210	-1	2	2	-1	17	17	-1	0	0	-1	60	60	-1	t < 800 ms	300	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	16	16	-1
