name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	10200	10200	0	10	10	-1	15860	15860	-1	9171	9171	-1	4914	4914	-1	15490	15490	-1	15720	15720	-1	t < 800 ms	569	5	800 ms < t < 1200 ms	100	0	t > 1200 ms	9531	93	failed	0	0	98	98	-1
Dashboard	3400	3400	0	10	10	-1	15730	15730	-1	7548	7548	-1	4741	4741	-1	14870	14870	-1	15550	15550	-1	t < 800 ms	349	10	800 ms < t < 1200 ms	35	1	t > 1200 ms	3016	88	failed	0	0	33	33	-1
Profile 1	3400	3400	0	70	70	-1	15830	15830	-1	9710	9710	-1	5094	5094	-1	15600	15600	-1	15740	15740	-1	t < 800 ms	167	4	800 ms < t < 1200 ms	36	1	t > 1200 ms	3197	94	failed	0	0	33	33	-1
Profile 2	3400	3400	0	30	30	-1	15860	15860	-1	10256	10256	-1	4462	4462	-1	15540	15540	-1	15720	15720	-1	t < 800 ms	53	1	800 ms < t < 1200 ms	29	0	t > 1200 ms	3318	97	failed	0	0	33	33	-1
