name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	320000	318350	1650	0	0	0	60490	56570	60490	1509	1446	13667	2196	2140	0	4050	4030	60000	10310	9970	60140	t < 800 ms	172104	53	800 ms < t < 1200 ms	61891	19	t > 1200 ms	84355	26	failed	1650	0	1194	1188	6
Homepage	80000	79581	419	0	0	0	60380	56560	60380	1471	1421	10956	2266	2152	3176	4070	4050	60000	10260	9960	60140	t < 800 ms	42562	53	800 ms < t < 1200 ms	15552	19	t > 1200 ms	21467	26	failed	419	0	299	297	2
Projects	80000	79464	536	0	0	0	60380	56570	60380	1547	1472	12749	2354	2293	0	4070	4040	60000	10450	10000	60040	t < 800 ms	41919	52	800 ms < t < 1200 ms	15857	19	t > 1200 ms	21688	27	failed	536	0	299	297	2
Search	80000	79578	422	0	0	0	60490	55970	60490	1552	1483	14602	2094	2072	0	4050	4030	60010	10320	9960	60120	t < 800 ms	43026	53	800 ms < t < 1200 ms	15189	18	t > 1200 ms	21363	26	failed	422	0	299	297	2
Project page	80000	79727	273	0	0	0	60330	55800	60330	1466	1409	18187	2053	2033	0	4010	3990	60020	10170	9950	60150	t < 800 ms	44597	55	800 ms < t < 1200 ms	15293	19	t > 1200 ms	19837	24	failed	273	0	299	297	1
