name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	7800	7800	0	10	10	-1	200	200	-1	59	59	-1	32	32	-1	120	120	-1	150	150	-1	t < 800 ms	7800	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	95	95	-1
Dashboard	2600	2600	0	10	10	-1	190	190	-1	50	50	-1	31	31	-1	110	110	-1	140	140	-1	t < 800 ms	2600	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	32	32	-1
Profile 1	2600	2600	0	20	20	-1	190	190	-1	64	64	-1	30	30	-1	120	120	-1	150	150	-1	t < 800 ms	2600	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	32	32	-1
Profile 2	2600	2600	0	20	20	-1	200	200	-1	64	64	-1	31	31	-1	130	130	-1	160	160	-1	t < 800 ms	2600	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	32	32	-1
