name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	12600	12600	0	10	10	-1	24610	24610	-1	14707	14707	-1	7783	7783	-1	24240	24240	-1	24360	24360	-1	t < 800 ms	552	4	800 ms < t < 1200 ms	80	0	t > 1200 ms	11968	94	failed	0	0	100	100	-1
Dashboard	4200	4200	0	10	10	-1	24320	24320	-1	11478	11478	-1	7244	7244	-1	22950	22950	-1	23940	23940	-1	t < 800 ms	378	9	800 ms < t < 1200 ms	31	0	t > 1200 ms	3791	90	failed	0	0	33	33	-1
Profile 1	4200	4200	0	90	90	-1	24610	24610	-1	15769	15769	-1	8123	8123	-1	24300	24300	-1	24390	24390	-1	t < 800 ms	165	3	800 ms < t < 1200 ms	26	0	t > 1200 ms	4009	95	failed	0	0	33	33	-1
Profile 2	4200	4200	0	610	610	-1	24490	24490	-1	16874	16874	-1	6858	6858	-1	24260	24260	-1	24360	24360	-1	t < 800 ms	9	0	800 ms < t < 1200 ms	23	0	t > 1200 ms	4168	99	failed	0	0	33	33	-1
