name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	10200	10054	146	10	10	20	11580	11580	610	4761	4827	170	3277	3255	144	11260	11260	470	11450	11450	560	t < 800 ms	902	8	800 ms < t < 1200 ms	772	7	t > 1200 ms	8380	82	failed	146	1	113	111	2
Dashboard	3400	3369	31	10	10	20	11430	11430	210	3959	3994	110	2926	2916	52	10520	10540	190	11270	11270	210	t < 800 ms	458	13	800 ms < t < 1200 ms	300	8	t > 1200 ms	2611	76	failed	31	0	38	37	0
Profile 1	3400	3331	69	20	20	30	11550	11550	550	5010	5110	179	3499	3464	136	11340	11350	470	11470	11470	470	t < 800 ms	283	8	800 ms < t < 1200 ms	249	7	t > 1200 ms	2799	82	failed	69	2	38	37	1
Profile 2	3400	3354	46	20	40	20	11580	11580	610	5313	5383	198	3228	3194	180	11310	11310	560	11470	11470	610	t < 800 ms	161	4	800 ms < t < 1200 ms	223	6	t > 1200 ms	2970	87	failed	46	1	38	37	1
