name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	24000	24000	0	0	0	-1	670	670	-1	38	38	-1	75	75	-1	200	200	-1	390	390	-1	t < 800 ms	24000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1221	1221	-1
Homepage	6000	6000	0	0	0	-1	600	600	-1	22	22	-1	57	57	-1	110	110	-1	320	320	-1	t < 800 ms	6000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	305	305	-1
Projects	6000	6000	0	0	0	-1	650	650	-1	41	41	-1	79	79	-1	220	220	-1	390	390	-1	t < 800 ms	6000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	305	305	-1
Search	6000	6000	0	0	0	-1	670	670	-1	43	43	-1	80	80	-1	230	230	-1	410	410	-1	t < 800 ms	6000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	305	305	-1
Project page	6000	6000	0	0	0	-1	660	660	-1	44	44	-1	81	81	-1	230	230	-1	420	420	-1	t < 800 ms	6000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	305	305	-1
