name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	20000	20000	0	0	0	-1	3030	3030	-1	18	18	-1	131	131	-1	30	30	-1	50	50	-1	t < 800 ms	19962	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	38	0	failed	0	0	915	915	-1
Homepage	5000	5000	0	0	0	-1	3020	3020	-1	18	18	-1	175	175	-1	30	30	-1	50	50	-1	t < 800 ms	4983	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	17	0	failed	0	0	229	229	-1
Projects	5000	5000	0	0	0	-1	3030	3030	-1	20	20	-1	134	134	-1	30	30	-1	50	50	-1	t < 800 ms	4990	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	10	0	failed	0	0	229	229	-1
Search	5000	5000	0	0	0	-1	3030	3030	-1	18	18	-1	120	120	-1	30	30	-1	50	50	-1	t < 800 ms	4992	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	8	0	failed	0	0	229	229	-1
Project page	5000	5000	0	0	0	-1	3020	3020	-1	17	17	-1	74	74	-1	40	40	-1	50	50	-1	t < 800 ms	4997	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	0	failed	0	0	229	229	-1
