name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	15000	7135	7865	0	10	0	16000	16000	3320	4703	9758	117	5880	4891	126	15560	15730	380	15840	15890	490	t < 800 ms	442	2	800 ms < t < 1200 ms	79	0	t > 1200 ms	6614	44	failed	7865	52	165	79	87
Dashboard	5000	2550	2450	0	10	0	15950	15950	3320	4486	8682	118	5835	5551	144	15590	15710	380	15840	15870	500	t < 800 ms	348	6	800 ms < t < 1200 ms	38	0	t > 1200 ms	2164	43	failed	2450	49	55	28	27
Profile 1	5000	2228	2772	0	50	0	16000	16000	1200	4626	10238	116	5919	4669	109	15530	15750	380	15850	15910	500	t < 800 ms	90	1	800 ms < t < 1200 ms	41	0	t > 1200 ms	2097	41	failed	2772	55	55	25	31
Profile 2	5000	2357	2643	0	20	0	15990	15990	3260	4997	10468	118	5872	4063	124	15540	15730	380	15840	15900	490	t < 800 ms	4	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	2353	47	failed	2643	52	55	26	29
