name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	16000	16000	0	0	0	-1	90	90	-1	11	11	-1	8	8	-1	20	20	-1	40	40	-1	t < 800 ms	16000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	834	834	-1
Homepage	4000	4000	0	0	0	-1	70	70	-1	7	7	-1	7	7	-1	20	20	-1	30	30	-1	t < 800 ms	4000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	208	208	-1
Projects	4000	4000	0	0	0	-1	60	60	-1	11	11	-1	8	8	-1	30	30	-1	40	40	-1	t < 800 ms	4000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	208	208	-1
Search	4000	4000	0	0	0	-1	60	60	-1	11	11	-1	8	8	-1	20	20	-1	30	30	-1	t < 800 ms	4000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	208	208	-1
Project page	4000	4000	0	0	0	-1	90	90	-1	13	13	-1	9	9	-1	30	30	-1	40	40	-1	t < 800 ms	4000	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	208	208	-1
