name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	6600	6600	0	10	10	-1	1470	1470	-1	182	182	-1	352	352	-1	1240	1240	-1	1430	1430	-1	t < 800 ms	6013	91	800 ms < t < 1200 ms	236	3	t > 1200 ms	351	5	failed	0	0	81	81	-1
Dashboard	2200	2200	0	10	10	-1	1460	1460	-1	175	175	-1	351	351	-1	1180	1180	-1	1410	1410	-1	t < 800 ms	1998	90	800 ms < t < 1200 ms	94	4	t > 1200 ms	108	4	failed	0	0	27	27	-1
Profile 1	2200	2200	0	20	20	-1	1470	1470	-1	181	181	-1	342	342	-1	1180	1180	-1	1430	1430	-1	t < 800 ms	2007	91	800 ms < t < 1200 ms	91	4	t > 1200 ms	102	4	failed	0	0	27	27	-1
Profile 2	2200	2200	0	10	10	-1	1470	1470	-1	190	190	-1	363	363	-1	1320	1320	-1	1440	1440	-1	t < 800 ms	2008	91	800 ms < t < 1200 ms	51	2	t > 1200 ms	141	6	failed	0	0	27	27	-1
