name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	8400	8397	3	0	10	0	60020	3820	60020	1846	1832	40010	1028	1129	0	3550	3550	60020	3760	3760	60020	t < 800 ms	1897	22	800 ms < t < 1200 ms	1035	12	t > 1200 ms	5465	65	failed	3	0	103	103	0
Dashboard	2800	2798	2	0	10	0	60010	3810	60010	1682	1661	30005	980	1132	0	3330	3330	60010	3740	3730	60010	t < 800 ms	772	27	800 ms < t < 1200 ms	361	12	t > 1200 ms	1665	59	failed	2	0	34	34	0
Profile 1	2800	2799	1	20	20	60020	60020	3810	60020	1926	1905	60020	994	1147	0	3600	3590	60020	3760	3760	60020	t < 800 ms	600	21	800 ms < t < 1200 ms	329	11	t > 1200 ms	1870	66	failed	1	0	34	34	0
Profile 2	2800	2800	0	40	40	-1	3820	3820	-1	1930	1930	-1	1087	1087	-1	3620	3620	-1	3770	3770	-1	t < 800 ms	525	18	800 ms < t < 1200 ms	345	12	t > 1200 ms	1930	68	failed	0	0	34	34	-1
