name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	10800	9782	1018	0	10	0	8770	8770	3120	4985	5497	62	2984	2654	128	8600	8610	280	8700	8700	430	t < 800 ms	577	5	800 ms < t < 1200 ms	101	0	t > 1200 ms	9104	84	failed	1018	9	125	113	12
Dashboard	3600	3314	286	0	10	0	8750	8750	460	4525	4910	61	3013	2828	94	8610	8620	310	8690	8690	430	t < 800 ms	357	9	800 ms < t < 1200 ms	34	0	t > 1200 ms	2923	81	failed	286	7	42	38	3
Profile 1	3600	3234	366	0	30	0	8770	8770	3120	5126	5698	70	3045	2664	182	8610	8620	310	8710	8710	430	t < 800 ms	175	4	800 ms < t < 1200 ms	31	0	t > 1200 ms	3028	84	failed	366	10	42	37	4
Profile 2	3600	3234	366	0	40	0	8770	8770	460	5303	5897	55	2834	2339	74	8580	8600	260	8700	8700	400	t < 800 ms	45	1	800 ms < t < 1200 ms	36	1	t > 1200 ms	3153	87	failed	366	10	42	37	4
