name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	800	800	0	0	0	-1	30	30	-1	0	0	-1	2	2	-1	0	0	-1	0	0	-1	t < 800 ms	800	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	42	42	-1
Homepage	200	200	0	0	0	-1	10	10	-1	0	0	-1	1	1	-1	0	0	-1	0	0	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	10	10	-1
Projects	200	200	0	0	0	-1	30	30	-1	0	0	-1	2	2	-1	0	0	-1	0	0	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	10	10	-1
Search	200	200	0	0	0	-1	30	30	-1	0	0	-1	2	2	-1	0	0	-1	0	0	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	10	10	-1
Project page	200	200	0	0	0	-1	10	10	-1	0	0	-1	1	1	-1	0	0	-1	0	0	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	10	10	-1
